"","scenario","scena1","prc.Grass_carp","prc.Common_carp","prc.Pike_perch","prc.Roach","prc.Tench","EE.Roach_juv","EE.Tench_juv","EE.Macroinvertebrate","EE.Zooplancton","EE.Macrophyte","EE.Phytoplancton","Feed","EE.Detritus","RDT","FCI","Profitability","n"
"269","scenario124","124",15,15,60,5,5,-0.638905221127724,-1.38166105926446,1.63770241398262,2.02693567190476,0.716972933880559,0.00944366629886079,0.351419364921633,0.00714392488320364,957.902060048947,0.338921130177403,8676.2633830442,13
"270","scenario1240","1240",5,45,15,25,10,0.0563579290654641,-1.27421826022243,2.52495117424321,2.14732387447512,0.769917090889859,0.0218392451670439,0.585185156511078,0.0148158375388558,1361.17697511738,0.0532157805339236,4162.01488115812,13
"271","scenario1241","1241",40,5,20,25,10,0.0643211153969282,-1.44168937973974,2.90548774594213,2.1910396714897,0.811539425642827,0.032018947875502,0.35279117692504,0.0235715837798978,1780.62957823972,0.0533988565923379,11000.6158119273,13
"272","scenario1242","1242",35,10,20,25,10,0.0643211153969282,-1.44168937973974,2.8712494665476,2.18501774901525,0.805536130646624,0.0305451656373855,0.379286591921278,0.0222866194863352,1721.31860697102,0.0534112554165113,10089.2541294853,13
"273","scenario1243","1243",30,15,20,25,10,0.0643211153969282,-1.44168937973974,2.83701118715306,2.1789958265408,0.79953283565042,0.0290713833992689,0.405782006917516,0.0210084262933759,1662.00763570231,0.0534236483111295,9177.8924470432,13
"274","scenario1244","1244",25,20,20,25,10,0.0643211153969282,-1.44168937973974,2.80277290775853,2.17297390406635,0.793529540654216,0.0275976011611524,0.432277421913753,0.0197369508213377,1602.69666443361,0.0534360341565175,8266.53076460113,13
"275","scenario1245","1245",20,25,20,25,10,0.0643211153969282,-1.44168937973974,2.76853462836399,2.16695198159189,0.787526245658012,0.0261238189230358,0.458772836909991,0.0184721402501565,1543.38569316491,0.0534484117829788,7355.16908215906,13
"276","scenario1246","1246",15,30,20,25,10,0.0643211153969282,-1.44168937973974,2.73429634896946,2.16093005911744,0.781522950661808,0.0246500366849193,0.485268251906229,0.017213942312072,1484.07472189621,0.0534607799402671,6443.807399717,13
"277","scenario1247","1247",10,35,20,25,10,0.0643211153969282,-1.44168937973974,2.70005806957493,2.15490813664299,0.775519655665605,0.0231762544468028,0.511763666902467,0.0159623052844272,1424.76375062751,0.0534731373633922,5532.44571727493,13
"278","scenario1248","1248",5,40,20,25,10,0.0643211153969282,-1.44168937973974,2.66581979018039,2.14888621416854,0.769516360669401,0.0217024722086862,0.538259081898705,0.0147171779825811,1365.4527793588,0.0534854827700312,4621.08403483286,13
