scenario;scena1;prc.Striped_catfish;prc.Silver_Carp;prc.Clarias_macrocephalus;prc.Common_carp;EE.Macroinvertebrate;EE.Zooplancton;EE.Phytoplancton;EE.Feed;EE.Detritus;RDT;FCI;Profitability;n
scenario13135;13135;10;44;12;34;0.514919109;0.682760574;0.585430771;2.229407991;0.405295434;2154.948977;0.159768168;2821.696193;9
scenario13136;13136;8;46;12;34;0.514420272;0.683270029;0.587040823;2.525406144;0.407373453;2065.115593;0.160229272;2769.091572;9
scenario13137;13137;6;48;12;34;0.513921436;0.683779484;0.588650875;3.018736398;0.409470999;1975.28221;0.16069298;2716.486951;9
scenario13138;13138;4;50;12;34;0.513422599;0.68428894;0.590260927;4.005396906;0.411588349;1885.448826;0.161159313;2663.88233;9
scenario13139;13139;2;52;12;34;0.512923763;0.684798395;0.591870979;6.965378431;0.413725784;1795.615442;0.161628294;2611.277709;9
scenario1314;1314;70;16;10;4;0.436015934;0.644829536;0.562826484;1.065314417;0.350533266;4599.343163;0.150613679;4023.923835;9
scenario13140;13140;50;2;14;34;0.539835749;0.676363499;0.5519236;1.282213903;0.367808488;3988.173712;0.150700974;3928.624204;9
scenario13141;13141;48;4;14;34;0.539336912;0.676872954;0.553533652;1.292080508;0.369549663;3898.340328;0.151113114;3876.019583;9
scenario13142;13142;46;6;14;34;0.538838075;0.67738241;0.555143704;1.302805079;0.371305805;3808.506945;0.151527474;3823.414962;9
scenario13143;13143;44;8;14;34;0.538339239;0.677891865;0.556753756;1.314504611;0.373077107;3718.673561;0.151944069;3770.810341;9
scenario13144;13144;42;10;14;34;0.537840402;0.67840132;0.558363808;1.327318384;0.374863767;3628.840177;0.152362919;3718.20572;9
scenario13145;13145;40;12;14;34;0.537341566;0.678910775;0.55997386;1.341413534;0.376665985;3539.006794;0.152784039;3665.601099;9
scenario13146;13146;38;14;14;34;0.536842729;0.679420231;0.561583912;1.356992384;0.378483965;3449.17341;0.153207448;3612.996479;9
scenario13147;13147;36;16;14;34;0.536343892;0.679929686;0.563193964;1.374302217;0.380317916;3359.340026;0.153633164;3560.391858;9
scenario13148;13148;34;18;14;34;0.535845056;0.680439141;0.564804016;1.393648502;0.382168048;3269.506643;0.154061205;3507.787237;9
scenario13149;13149;32;20;14;34;0.535346219;0.680948596;0.566414069;1.415413072;0.384034577;3179.673259;0.154491589;3455.182616;9
scenario1315;1315;68;18;10;4;0.435517098;0.645338991;0.564436536;1.065899682;0.352147994;4509.509779;0.151020201;3971.319215;9
scenario13150;13150;30;22;14;34;0.534847383;0.681458051;0.568024121;1.440079585;0.385917722;3089.839875;0.154924335;3402.577995;9
scenario13151;13151;28;24;14;34;0.534348546;0.681967507;0.569634173;1.468269885;0.387817704;3000.006492;0.155359461;3349.973374;9
scenario13152;13152;26;26;14;34;0.533849709;0.682476962;0.571244225;1.500797154;0.389734752;2910.173108;0.155796985;3297.368753;9
scenario13153;13153;24;28;14;34;0.533350873;0.682986417;0.572854277;1.538745635;0.391669096;2820.339724;0.156236929;3244.764132;9
scenario13154;13154;22;30;14;34;0.532852036;0.683495872;0.574464329;1.58359384;0.393620972;2730.506341;0.156679309;3192.159511;9
scenario13155;13155;20;32;14;34;0.5323532;0.684005328;0.576074381;1.637411686;0.395590618;2640.672957;0.157124146;3139.55489;9
scenario13156;13156;18;34;14;34;0.531854363;0.684514783;0.577684433;1.703189053;0.397578279;2550.839573;0.15757146;3086.950269;9
scenario13157;13157;16;36;14;34;0.531355526;0.685024238;0.579294485;1.785410762;0.399584203;2461.00619;0.158021269;3034.345648;9
